SetID,WorkoutExerciseID,SetNumber,Repetitions,Weight,RIR
905,298,3,6,85.0,2
906,299,1,9,22.0,2
907,299,2,10,22.0,1
908,299,3,10,22.0,1
909,300,1,8,89.5,1
910,300,2,7,89.5,1
911,300,3,7,89.5,1
912,301,1,9,70.0,1
913,301,2,10,70.0,0
914,302,1,12,35.0,1
915,302,2,12,35.0,0
916,302,3,12,35.0,0
917,303,1,9,30.0,2
918,303,2,10,30.0,1
919,304,1,12,30.0,2
920,304,2,10,35.0,0
921,305,1,5,85.0,1
922,305,2,5,85.0,1
923,305,3,5,85.0,0
924,306,1,6,89.5,1
925,306,2,6,89.5,1
926,306,3,6,89.5,0
927,307,1,6,40.0,4
928,307,2,3,55.0,1
929,307,3,6,55.0,1
930,308,1,10,22.0,2
931,308,2,10,22.0,1
932,308,3,10,22.0,1
933,309,1,10,60.0,1
934,309,2,10,60.0,0
935,310,1,10,77.0,1
936,310,2,10,80.0,1
937,310,3,10,80.0,1
938,311,1,8,60.0,2
939,311,2,9,60.0,1
940,312,1,14,12.0,1
941,312,2,14,12.0,0
942,312,3,13,12.0,0
943,313,1,8,16.0,1
944,313,2,10,16.0,0
945,314,1,6,95.0,2
946,314,2,6,100.0,1
947,314,3,6,100.0,1
948,314,4,5,105.0,1
949,315,1,8,85.0,2
950,315,2,10,85.0,1
951,315,3,10,85.0,1
952,316,1,10,120.0,3
953,316,2,8,140.0,1
954,316,3,8,140.0,1
955,317,1,6,140.0,1
956,317,2,6,140.0,0
957,318,1,12,65.0,2
958,318,2,9,70.0,1
959,318,3,9,70.0,1
960,319,1,12,85.0,2
961,319,2,12,85.0,1
962,319,3,12,85.0,1
963,320,1,12,30.0,3
964,320,2,8,35.0,1
965,320,3,8,35.0,0
966,321,1,9,30.0,2
967,321,2,9,30.0,1
968,321,3,8,30.0,0
969,322,1,13,30.0,1
970,322,2,13,30.0,0
971,322,3,13,30.0,0
972,323,1,8,22.0,1
973,323,2,10,22.0,0
974,323,3,10,22.0,0
975,324,1,14,12.0,1
976,324,2,14,12.0,0
977,324,3,12,12.0,0
978,325,1,15,40.0,2
979,325,2,15,40.0,1
980,325,3,15,40.0,1
981,326,1,15,30.0,2
982,326,2,15,30.0,1
983,327,1,5,75.0,2
984,327,2,5,75.0,1
985,327,3,5,75.0,1
986,328,1,6,90.0,2
987,328,2,5,90.0,1
988,328,3,8,90.0,0
989,329,1,8,24.0,1
990,329,2,7,24.0,0
991,329,3,8,24.0,0
992,330,1,8,91.5,1
993,330,2,8,91.5,0
994,330,3,8,91.5,0
995,331,1,10,70.0,2
996,331,2,9,75.0,0
997,332,1,13,35.0,1
998,332,2,13,35.0,1
999,332,3,14,35.0,0
1000,333,1,11,16.0,1
1001,333,2,10,16.0,0
1002,334,1,9,30.0,1
1003,334,2,9,30.0,1
1004,335,1,10,35.0,0
1005,335,2,10,35.0,0
1076,364,1,6,140.0,1
1077,364,2,6,140.0,0
1078,365,1,7,110.0,2
1079,365,2,12,140.0,1
1080,366,1,13,90.0,1
1081,366,2,14,90.0,1
1082,366,3,15,90.0,0
1083,367,1,9,90.0,1
1084,367,2,9,90.0,1
1085,367,3,10,90.0,0
1086,368,1,5,85.0,1
1087,368,2,6,85.0,0
1088,368,3,7,85.0,0
1089,369,1,7,89.0,1
1090,369,2,6,89.0,0
1091,369,3,7,89.0,0
1092,370,1,6,55.0,1
1093,370,2,6,55.0,0
1094,371,1,12,22.0,1
1095,371,2,8,24.0,1
1096,371,3,9,24.0,0
1097,372,1,8,18.0,1
1098,372,2,8,18.0,0
1099,373,1,12,80.0,2
1100,373,2,8,85.0,1
1101,373,3,9,85.0,0
1102,374,1,9,60.0,1
1103,374,2,10,60.0,0
1104,375,1,12,60.0,2
1105,375,2,8,80.0,0
